"MAHATTAN - Bar and Restaurant"
"Bill Report - From:2009-05-01   To2009-05-28"

SRNO.,"BILL NUMBER",DATE,"ITEM NAME",QUANTITY,"COST(per item)","SUB TOTAL(Rs.)",DISCOUNT(%),TAX(%),TOTAL(Rs.)

1,1,2009-05-04,mutton443_33,5,5,0,0,0,0
2,,2009-05-04,mutton443_33,5,5,0,0,0,0
3,,2009-05-04,"chicken kabab",5,4,0,0,0,0
4,,2009-05-04,mutton_khema_paw,3,150,0,0,0,0
5,1,2009-05-04,wine,1,124,0,0,0,0
6,1,2009-05-04,mutton443_33,5,5,0,0,0,0
7,1,2009-05-04,"chicken kabab",5,4,0,0,0,0
8,1,2009-05-04,mutton_khema_paw,3,150,0,0,0,0
9,2,2009-05-04,"chicken kabab",5,4,0,0,0,0
10,2,2009-05-04,mutton_khema_paw,3,150,0,0,0,0
11,3,2009-05-04,wine,1,124,0,0,0,0
12,3,2009-05-04,mutton443_33,5,5,0,0,0,0
13,4,2009-05-04,wine,1,124,0,0,0,0
14,4,2009-05-04,mutton443_33,5,5,0,0,0,0
15,5,2009-05-04,"chicken kabab",5,4,154,0,0,154
16,5,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
17,6,2009-05-04,"chicken kabab",5,4,154,0,0,154
18,6,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
19,7,2009-05-04,"chicken kabab",5,4,154,0,0,154
20,7,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
21,8,2009-05-04,"chicken kabab",5,4,154,0,0,154
22,8,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
23,9,2009-05-04,"chicken kabab",5,4,154,0,0,154
24,9,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
25,10,2009-05-04,"chicken kabab",5,4,154,0,0,154
26,10,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
27,11,2009-05-04,"chicken kabab",5,4,154,0,0,154
28,11,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
29,12,2009-05-04,"chicken kabab",5,4,154,0,0,154
30,12,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
31,13,2009-05-04,"chicken kabab",5,4,154,0,0,154
32,13,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
33,14,2009-05-04,"chicken kabab",5,4,154,0,0,154
34,14,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
35,15,2009-05-04,"chicken kabab",5,4,154,0,0,154
36,15,2009-05-04,mutton_khema_paw,3,150,154,0,0,154
37,16,2009-05-04,"chicken kabab",5,4,154,10,10,152
38,16,2009-05-04,mutton_khema_paw,3,150,154,10,10,152
39,17,2009-05-05,wine,3,496,496,10,10,491.04
40,18,2009-05-05,wine,3,496,496,2.5,3.5,500.526
41,19,2009-05-04,wine,3,372,372,5,5,371.07
42,20,2009-05-04,wine,3,372,372,5,5,371.07
43,21,2009-05-04,wine,3,372,372,5,5,371.07
44,22,2009-05-04,wine,3,372,372,5,5,371.07
45,23,2009-05-04,wine,3,372,372,6,6,370.661
46,24,2009-05-04,wine,3,372,372,6,6,370.661
47,25,2009-05-04,wine,3,372,372,6,6,370.661
48,26,2009-05-04,wine,6,1116,1116,6,4.8,1099.39
49,27,2009-05-06,chocolate,3,600,600,5,4,592.8
50,28,2009-05-07,wine,3,496,596,5,3,583.186
51,28,2009-05-07,sample,1,100,596,5,3,583.186
52,29,2009-05-07,wine,3,496,596,5,3,583.186
53,29,2009-05-07,sample,1,100,596,5,3,583.186
54,30,2009-05-07,wine,3,496,596,5,3,583.186
55,30,2009-05-07,sample,1,100,596,5,3,583.186
56,31,2009-05-07,wine,3,496,596,5,3,583.186
57,31,2009-05-07,sample,1,100,596,5,3,583.186
58,32,2009-05-07,wine,3,496,596,5,3,583.186
59,32,2009-05-07,sample,1,100,596,5,3,583.186
60,33,2009-05-07,wine,3,496,596,5,3,583.186
61,33,2009-05-07,sample,1,100,596,5,3,583.186
62,34,2009-05-07,wine,3,496,596,5,3,583.186
63,34,2009-05-07,sample,1,100,596,5,3,583.186
64,35,2009-05-07,wine,3,496,596,5,3,583.186
65,35,2009-05-07,sample,1,100,596,5,3,583.186
66,36,2009-05-07,wine,3,496,596,5,3,583.186
67,36,2009-05-07,sample,1,100,596,5,3,583.186
68,37,2009-05-07,wine,3,496,596,5,3,583.186
69,37,2009-05-07,sample,1,100,596,5,3,583.186
70,38,2009-05-07,wine,3,496,596,5,3,583.186
71,38,2009-05-07,sample,1,100,596,5,3,583.186
72,39,2009-05-07,wine,3,496,596,5,3,583.186
73,39,2009-05-07,sample,1,100,596,5,3,583.186
74,40,2009-05-07,wine,3,496,596,5,3,583.186
75,40,2009-05-07,sample,1,100,596,5,3,583.186
76,41,2009-05-07,wine,3,496,596,5,3,583.186
77,41,2009-05-07,sample,1,100,596,5,3,583.186
78,42,2009-05-07,wine,3,496,596,5,3,583.186
79,42,2009-05-07,sample,1,100,596,5,3,583.186
